Modèles globaux,Modèles régionaux,Date,Niv. réchauffement,Pts T>45,Pts T>50,T_max,Commentaire,,source :,https://www.drias-climat.fr/accompagnement/sections/405,,,
,,17-08-2090,>4.0°C,3662,61,50.9,,,,,,,
,,29-06-2091,>4.0°C,2099,18,51.2,,,,,,,
,,16-07-2091,>4.0°C,2507,26,50.7,,,,,,,
,,17-07-2091,>4.0°C,2076,5,50.3,,,,,,,
,,12-07-2092,>4.0°C,73,2,51.0,,,,,,,
,,14-07-2092,>4.0°C,3300,67,52.6,,,,,,,
,,22-07-2092,>4.0°C,2996,38,51.5,,,,,,,
,,29-07-2094,>4.0°C,1347,9,51.6,,,,,,,
,,30-07-2094,>4.0°C,422,4,51.5,,,,,,,
,,19-08-2094,>4.0°C,2421,5,50.0,,,,,,,
,,26-08-2094,>4.0°C,2620,10,50.3,,,,,,,
,,27-08-2094,>4.0°C,2300,9,50.5,,,,,,,
,,11-08-2095,>4.0°C,2392,5,50.2,,Fiable à 88%,,,,,
,RegCM4-6,31-08-2054,2.7°C à 4.0°C,11,11,56.8,explosion,,,,,,
,,21-08-2068,4.0°Cp,14,1,52.7,explosion,,,,,,
,,20-08-2083,>4.0°C,5,5,58.0,explosion,,,,,,
,,11-08-2093,>4.0°C,18,15,58.0,explosion,Fiable à 0%,,,,,
MPI-ESM-LR,CCLM4-8-17,29-07-2009,<2.0°C,991,2,50.4,,,,,,,
,,27-08-2085,4.0°C,2298,2,50.4,,,,,,,
,,08-07-2086,4.0°C,1461,18,50.4,,,,,,,
,,15-07-2093,4.0°C,2156,11,50.8,,,,,,,
,,16-07-2093,4.0°C,1315,24,51.5,,,,,,,
,,24-07-2093,4.0°C,1861,11,51.2,,,,,,,
,,08-07-2094,4.0°C,3942,29,50.8,,1 cas <2.0°C fiable,,,,,
,,09-07-2094,4.0°C,3766,171,52.0,,8 cas 4.0°C fiables,,,,,
,,10-07-2094,4.0°C,1210,2,50.4,,Fiable à 100%,,,,,
,RegCM4-6,30-08-2051,2.7°Cp,10,4,53.0,explosion,,,,,,
,,07-08-2098,>4.0°C,1863,1,50.0,,Fiable à 50%,,,,,
,REMO,07-08-2049,2.0°C,65,1,50.1,peu de pts >45,,,,,,
,,22-08-2070,2.7°Cp,34,3,51.7,,,,,,,
,,24-08-2070,2.7°Cp,41,1,50.3,,,,,,,
,,16-07-2079,2.7°C à 4.0°C,94,1,50.3,,,,,,,
,,11-08-2079,2.7°C à 4.0°C,132,2,50.8,,,,,,,
,,12-08-2079,2.7°C à 4.0°C,36,6,52.0,,,,,,,
,,14-08-2079,2.7°C à 4.0°C,258,13,52.1,,,,,,,
,,15-08-2079,2.7°C à 4.0°C,277,25,54.4,,,,,,,
,,17-08-2082,4.0°Cp,95,6,50.8,,,,,,,
,,19-08-2082,4.0°Cp,16,2,51.3,,,,,,,
,,14-09-2085,4.0°Cp,94,6,50.9,,,,,,,
,,07-07-2086,4.0°C,627,32,52.1,,,,,,,
,,08-07-2086,4.0°Cp,185,12,51.5,,,,,,,
,,04-09-2086,4.0°Cp,101,11,53.7,,,,,,,
,,20-08-2087,4.0°Cp,652,10,53.1,,,,,,,
,,21-08-2087,4.0°C,2028,25,51.7,,,,,,,
,,22-08-2087,4.0°Cp,1843,4,51.4,,,,,,,
,,23-08-2087,4.0°C,813,35,51.8,,,,,,,
,,25-07-2092,4.0°Cp,1418,1,50.4,,,,,,,
,,27-07-2092,4.0°Cp,1347,1,52.2,un seul pt > 50 à 52.2,,,,,,
,,28-07-2092,4.0°Cp,265,2,51.1,,,,,,,
,,31-07-2092,4.0°Cp,12,2,50.2,explosion,,,,,,
,,12-08-2092,4.0°Cp,160,2,51.1,,,,,,,
,,15-07-2093,4.0°Cp,867,2,51.1,,,,,,,
,,01-08-2095,4.0°Cp,116,4,51.5,,,,,,,
,,15-08-2095,4.0°Cp,256,7,51.8,,,,,,,
,,29-07-2097,4.0°Cp,34,2,51.4,,,,,,,
,,30-07-2098,4.0°Cp,101,4,51.1,,,,,,,
,,31-07-2098,4.0°Cp,169,10,53.5,,,,,,,
,,01-08-2098,4.0°Cp,241,6,50.3,,,,,,,
,,19-08-2100,4.0°Cp,49,3,50.5,,3 cas 4.0°C fiables,,,,,
,,22-08-2100,4.0°Cp,90,2,51.2,,Fiable à 9%,,,,,
NorESM1-M,HIRHAM5,23-07-2081,4.0°C,1156,126,53.1,,,,,,,
,,25-07-2081,4.0°C,808,49,53.6,,,,,,,
,,09-08-2094,>4.0°C,448,3,50.8,,,,,,,
,,14-07-2100,>4.0°C,63,2,50.6,,Fiable à 75%,,,,,
,REMO,01-07-2070,4.0°Cp,194,2,50.2,,,,,,,
,,03-07-2070,4.0°C,551,14,51.4,,,,,,,
,,04-07-2070,4.0°Cp,111,1,51.1,,,,,,,
,,02-08-2075,4.0°Cp,89,8,52.4,,,,,,,
,,26-07-2080,4.0°C,577,6,50.8,,,,,,,
,,23-07-2081,4.0°C,1110,19,51.1,,,,,,,
,,24-07-2081,4.0°C,2044,65,51.9,,,,,,,
,,23-07-2083,4.0°Cp,73,2,50.2,,,,,,,
,,19-08-2083,4.0°Cp,119,1,50.0,,,,,,,
,,20-08-2083,4.0°C,977,10,51.4,,,,,,,
,,21-08-2083,4.0°C,1055,12,50.9,,,,,,,
,,17-07-2086,4.0°Cp,158,3,50.3,,,,,,,
,,11-08-2087,4.0°Cp,70,4,50.8,,,,,,,
,,29-07-2088,>4.0°C,370,19,51.6,,,,,,,
,,15-07-2089,>4.0°C,541,1,50.1,,,,,,,
,,16-07-2089,>4.0°C,1742,37,51.8,,,,,,,
,,17-07-2089,>4.0°C,3395,142,53.5,,,,,,,
,,18-07-2089,>4.0°C,2370,20,51.6,,,,,,,
,,19-07-2089,>4.0°C,413,2,50.2,,,,,,,
,,06-08-2089,>4.0°C,1120,8,52.4,,,,,,,
,,07-08-2089,>4.0°C,506,3,51.4,,,,,,,
,,08-08-2090,>4.0°C,21,1,50.1,,,,,,,
,,14-08-2090,>4.0°C,281,2,50.4,,,,,,,
,,07-08-2094,>4.0°C,240,2,50.4,,,,,,,
,,28-08-2094,>4.0°C,54,1,50.2,,,,,,,
,,27-07-2095,>4.0°C,291,41,52.3,,,,,,,
,,16-08-2095,>4.0°C,358,11,51.6,,,,,,,
,,25-07-2096,>4.0°C,663,6,51.7,,,,,,,
,,26-07-2096,>4.0°C,835,29,56.8,,,,,,,
,,27-07-2096,>4.0°C,537,27,53.8,,,,,,,
,,06-08-2096,>4.0°C,82,12,52.8,,,,,,,
,,11-08-2096,>4.0°C,14,2,50.8,,,,,,,
,,23-08-2096,>4.0°C,63,1,50.1,,6 cas 4.0°C fiables,,,,,
,,19-08-2100,>4.0°C,147,4,50.4,,Fiable à 59%,,,,,
,WRF381P,11-06-2042,2.0°C,2,1,51.5,explosion,,,,,,
,,05-08-2043,2.0°C,3,3,55.9,explosion,,,,,,
,,04-06-2051,2.0°C,3,3,52.4,explosion,,,,,,
,,28-06-2053,2.0°C ou 2.7°C,3,2,52.7,explosion,,,,,,
,,27-06-2055,2.0°C ou 2.7°C,3,3,51.8,explosion,,,,,,
,,01-06-2059,2.7°Cp,3,3,56.5,explosion,,,,,,
,,23-07-2082,4.0°Cp,10,2,51.3,explosion,,,,,,
,,29-07-2082,4.0°Cp,2,2,53.5,explosion,,,,,,
,,06-08-2089,4.0°Cp,36,3,51.2,,,,,,,
,,07-08-2089,4.0°C,567,6,51.0,,,,,,,
,,10-08-2089,4.0°Cp,3,1,51.7,explosion,,,,,,
,,14-07-2090,4.0°Cp,4,1,50.3,explosion,,,,,,
,,15-08-2090,4.0°Cp,6,3,57.1,explosion,,,,,,
,,15-08-2091,4.0°C,2033,4,53.6,,,,,,,
,,17-08-2091,4.0°C,2307,2,50.2,,,,,,,
,,27-07-2094,4.0°Cp,7,2,51.0,explosion,3 cas 4.0°C fiables,,,,,
,,09-07-2095,4.0°Cp,76,3,50.6,,Fiable à 18%,,,,,
